Year,Country Name,Country Code,AG.LND.AGRI.K2,AG.LND.TOTL.K2,AG.SRF.TOTL.K2,EG.ELC.COAL.ZS,EG.ELC.FOSL.ZS,EG.ELC.HYRO.ZS,EG.ELC.NGAS.ZS,EG.ELC.NUCL.ZS,EG.ELC.PETR.ZS,EG.ELC.RNEW.ZS,EG.ELC.RNWX.KH,EG.ELC.RNWX.ZS,EG.FEC.RNEW.ZS,EG.GDP.PUSE.KO.PP,EG.USE.COMM.CL.ZS,EG.USE.COMM.FO.ZS,EG.USE.ELEC.KH.PC,EN.ATM.CO2E.GF.KT,EN.ATM.CO2E.GF.ZS,EN.ATM.CO2E.KT,EN.ATM.CO2E.LF.KT,EN.ATM.CO2E.LF.ZS,EN.ATM.CO2E.PC,EN.ATM.CO2E.PP.GD,EN.ATM.CO2E.SF.KT,EN.ATM.CO2E.SF.ZS,EN.CO2.BLDG.ZS,EN.CO2.ETOT.ZS,EN.CO2.MANF.ZS,EN.CO2.OTHX.ZS,EN.CO2.TRAN.ZS,EN.POP.DNST,NY.GDP.TOTL.RT.ZS,SP.RUR.TOTL,SP.URB.TOTL
2007,Estonia,EST,9146,42390,45230,2.01804758,5.118949959,0.172272354,2.821985234,0,0.278917145,1.18949959,124000000,1.017227235,18.56525198,5.223041242,0.129048855,28.59866481,6277.411463,1840.834,10.02796644,18357.002,1888.505,10.28765481,13.69230689,0.617751511,14165.621,77.16739912,2.016546019,77.30093071,6.928645295,1.13753878,12.56463289,31.62727058,0.788229376,422596,918084
2007,Ethiopia,ETH,350770,1129287.296,1136266.279,0,4.567239921,95.43276008,0,0,4.567239921,95.43276008,0,0,94.57412114,1.631710227,0.580944122,4.648887741,39.56648029,0,0,6024.881,5214.474,86.54899574,0.074681496,0.094252742,0,0,17.2541744,2.968460111,24.67532468,7.977736549,47.30983302,71.43828527,21.91153683,67672870,13001478
2007,Finland,FIN,22949,304090,338420,18.01957044,31.59086713,17.44968921,12.9940304,28.83008185,0.577266293,29.93784233,10146000000,12.48815312,31.79294837,5.418347493,20.44216649,49.82068829,17160.86312,8547.777,13.41042458,63739.794,26365.73,41.36463008,12.05202658,0.318900678,27957.208,43.86146588,4.913699269,56.18099829,14.67889908,3.747473177,20.47893018,17.39195633,0.415219035,890197,4398523
2007,France,FRA,292061,547557,549087,5.00157868,9.994820509,10.21796432,3.900050021,77.99922662,1.093191808,11.69092631,8304000000,1.472961995,9.321328315,8.280817812,45.28240835,51.68550601,7513.579565,88147.346,23.87896609,369142.222,219095.916,59.35271095,5.76638535,0.169201784,50776.949,13.75538911,22.00589469,20.33667744,14.90959587,5.798333617,36.95233237,116.9124402,0.051907512,14326191,49690034
2007,Gabon,GAB,21024.13,257670,267670,0,53.34486736,46.19377163,19.49250288,0,33.85236448,46.65513264,8000000,0.461361015,87.34523504,5.943253696,1.374498688,18.20739896,969.7298949,311.695,7.569011576,4118.041,1576.81,38.29029386,2.796489822,0.184127166,0,0,10.30927835,39.69072165,26.80412371,1.030927835,21.64948454,5.714964878,38.59501331,239411,1233164
2007,Georgia,GEO,25170,69490,69700,0,18.17090735,81.82909265,17.88286126,0,0.288046087,81.82909265,0,0,36.22444801,7.867661085,12.76823407,70.69078883,1829.976908,3289.299,51.22786979,6420.917,2522.896,39.29183324,1.663381913,0.244248943,381.368,5.939463164,13.57798165,32.47706422,8.990825688,7.155963303,37.98165138,67.53486826,0.922982349,1761043,2099115
2007,Germany,DEU,169500,348670,357100,48.65235938,62.79236755,3.340734744,12.56077757,22.1780347,1.5792306,13.93800806,67151000000,10.59727331,9.406587903,9.0931185,13.45919164,81.27195016,7229.089913,175198.259,22.42546281,781247.016,254926.173,32.63067478,9.496553659,0.262021163,334448.735,42.80960159,16.87358181,51.18150283,12.52314754,0.076941134,19.34482669,235.9433619,0.171367374,19432962,62833410
2007,Ghana,GHA,145393.66,227540,238540,0,0,53.4107194,0,0,0,53.4107194,0,0,54.52820098,9.158624879,4.092697176,45.75724713,241.2912833,0,0,9827.56,8929.145,90.85820896,0.427956066,0.171127377,0,0,7.628128725,31.46603099,12.39570918,2.860548272,45.76877235,100.9226773,8.842570593,11787623,11176323
2007,Greece,GRC,77530,128900,131960,55.29492434,92.63446604,4.131651544,21.9642487,0,15.37529301,7.325668543,2003000000,3.194016999,7.918628933,10.7083322,1.729166289,93.02602135,5701.330854,7704.367,7.841893102,98246.264,47340.97,48.18602568,8.892293442,0.303650075,34887.838,35.51060018,10.31033075,53.28705594,10.42262148,2.623519804,23.34626378,85.71352211,0.322968525,2740132,8308341
2007,Guatemala,GTM,44140,107160,108890,12.89401553,52.37551393,34.61626313,0,0,39.4814984,47.62448607,1139000000,13.00822293,57.03256138,10.15584751,2.729528077,43.40464972,552.4961496,0,0,12398.127,9966.906,80.39041704,0.919945935,0.143425461,1188.108,9.58296362,5.231037489,29.29380994,17.34960767,7.56E-17,48.1255449,125.7653695,1.95176319,7074356,6402661
